wavelength_m,flux_arb
4.09E-07,4.04922E+13
4.10E-07,4.0437E+13
4.12E-07,4.03802E+13
4.13E-07,4.03219E+13
4.15E-07,4.02621E+13
4.16E-07,4.02008E+13
4.18E-07,4.01381E+13
4.19E-07,4.0074E+13
4.21E-07,4.00085E+13
4.22E-07,3.99416E+13
4.24E-07,3.98735E+13
4.25E-07,3.9804E+13
4.26E-07,3.97334E+13
4.28E-07,3.96615E+13
4.29E-07,3.95884E+13
4.31E-07,3.95141E+13
4.32E-07,3.94388E+13
4.34E-07,3.93623E+13
4.35E-07,3.92847E+13
4.37E-07,3.92061E+13
4.38E-07,3.91265E+13
4.39E-07,3.90459E+13
4.41E-07,3.89643E+13
4.42E-07,3.88818E+13
4.44E-07,3.87984E+13
4.45E-07,3.87141E+13
4.47E-07,3.86289E+13
4.48E-07,3.85428E+13
4.50E-07,3.8456E+13
4.51E-07,3.83683E+13
4.53E-07,3.82799E+13
4.54E-07,3.81907E+13
4.55E-07,3.81008E+13
4.57E-07,3.80102E+13
4.58E-07,3.79189E+13
4.60E-07,3.7827E+13
4.61E-07,3.77344E+13
4.63E-07,3.76411E+13
4.64E-07,3.75473E+13
4.66E-07,3.74529E+13
4.67E-07,3.73579E+13
4.68E-07,3.72624E+13
4.70E-07,3.71664E+13
4.71E-07,3.70698E+13
4.73E-07,3.69728E+13
4.74E-07,3.68752E+13
4.76E-07,3.67773E+13
4.77E-07,3.66789E+13
4.79E-07,3.658E+13
4.80E-07,3.64808E+13
4.82E-07,3.63812E+13
4.83E-07,3.62812E+13
4.84E-07,3.61808E+13
4.86E-07,3.60801E+13
4.87E-07,3.59791E+13
4.89E-07,3.58777E+13
4.90E-07,3.57761E+13
4.92E-07,3.56741E+13
4.93E-07,3.55719E+13
4.95E-07,3.54695E+13
4.96E-07,3.53668E+13
4.97E-07,3.52638E+13
4.99E-07,3.51607E+13
5.00E-07,3.50573E+13
5.02E-07,3.49537E+13
5.03E-07,3.485E+13
5.05E-07,3.47461E+13
5.06E-07,3.4642E+13
5.08E-07,3.45378E+13
